Keyword,PMID,Title,Journal,Abstract,Publication Date
"Human AND ""Pathogen Evolution"" AND Bioinformatics",22216135,Differential trends in the codon usage patterns in HIV-1 genes.,PloS one,"Host-pathogen interactions underlie one of the most complex evolutionary phenomena resulting in continual adaptive genetic changes, where pathogens exploit the host's molecular resources for growth and survival, while hosts try to eliminate the pathogen. Deciphering the molecular basis of host-pathogen interactions is useful in understanding the factors governing pathogen evolution and disease propagation. In host-pathogen context, a balance between mutation, selection, and genetic drift is known to maintain codon bias in both organisms. Studies revealing determinants of the bias and its dynamics are central to the understanding of host-pathogen evolution. We considered the Human Immunodeficiency Virus (HIV) type 1 and its human host to search for evolutionary signatures in the viral genome. Positive selection is known to dominate intra-host evolution of HIV-1, whereas high genetic variability underlies the belief that neutral processes drive inter-host differences. In this study, we analyze the codon usage patterns of HIV-1 genomes across all subtypes and clades sequenced over a period of 23 years. We show presence of unique temporal correlations in the codon bias of three HIV-1 genes illustrating differential adaptation of the HIV-1 genes towards the host preferred codons. Our results point towards gene-specific translational selection to be an important force driving the evolution of HIV-1 at the population level.",2011
"Human AND ""Pathogen Evolution"" AND Bioinformatics",22590641,"Edwardsiella comparative phylogenomics reveal the new intra/inter-species taxonomic relationships, virulence evolution and niche adaptation mechanisms.",PloS one,"Edwardsiella bacteria are leading fish pathogens causing huge losses to aquaculture industries worldwide. E. tarda is a broad-host range pathogen that infects more than 20 species of fish and other animals including humans while E. ictaluri is host-adapted to channel catfish causing enteric septicemia of catfish (ESC). Thus, these two species consist of a useful comparative system for studying the intricacies of pathogen evolution. Here we present for the first time the phylogenomic comparisons of 8 genomes of E. tarda and E. ictaluri isolates. Genome-based phylogenetic analysis revealed that E. tarda could be separate into two kinds of genotypes (genotype I, EdwGI and genotype II, EdwGII) based on the sequence similarity. E. tarda strains of EdwGI were clustered together with the E. ictaluri lineage and showed low sequence conservation to E. tarda strains of EdwGII. Multilocus sequence analysis (MLSA) of 48 distinct Edwardsiella strains also supports the new taxonomic relationship of the lineages. We identified the type III and VI secretion systems (T3SS and T6SS) as well as iron scavenging related genes that fulfilled the criteria of a key evolutionary factor likely facilitating the virulence evolution and adaptation to a broad range of hosts in EdwGI E. tarda. The surface structure-related genes may underlie the adaptive evolution of E. ictaluri in the host specification processes. Virulence and competition assays of the null mutants of the representative genes experimentally confirmed their contributive roles in the evolution/niche adaptive processes. We also reconstructed the hypothetical evolutionary pathway to highlight the virulence evolution and niche adaptation mechanisms of Edwardsiella. This study may facilitate the development of diagnostics, vaccines, and therapeutics for this under-studied pathogen.",2012
"Human AND ""Pathogen Evolution"" AND Bioinformatics",23351655,Molecular-based surveillance of campylobacteriosis in New Zealand--from source attribution to genomic epidemiology.,Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin,"Molecular-based surveillance of campylobacteriosis in New Zealand contributed to the implementation of interventions that led to a 50% reduction in notified and hospitalised cases of the country's most important zoonosis. From a pre-intervention high of 384 per 100,000 population in 2006, incidence dropped by 50% in 2008; a reduction that has been sustained since. This article illustrates many aspects of the successful use of molecular-based surveillance, including the distinction between control-focused and strategy-focused surveillance and advances in source attribution. We discuss how microbial genetic data can enhance the understanding of epidemiological explanatory and response variables and thereby enrich the epidemiological analysis. Sequence data can be fitted to evolutionary and epidemiological models to gain new insights into pathogen evolution, the nature of associations between strains of pathogens and host species, and aspects of between-host transmission. With the advent of newer sequencing technologies and the availability of rapid, high-coverage genome sequence data, such techniques may be extended and refined within the emerging discipline of genomic epidemiology. The aim of this article is to summarise the experience gained in New Zealand with molecular-based surveillance of campylobacteriosis and to discuss how this experience could be used to further advance the use of molecular tools in surveillance.",2013 Jan 17
"Human AND ""Pathogen Evolution"" AND Bioinformatics",23736103,"When outgroups fail; phylogenomics of rooting the emerging pathogen, Coxiella burnetii.",Systematic biology,"Rooting phylogenies is critical for understanding evolution, yet the importance, intricacies and difficulties of rooting are often overlooked. For rooting, polymorphic characters among the group of interest (ingroup) must be compared to those of a relative (outgroup) that diverged before the last common ancestor (LCA) of the ingroup. Problems arise if an outgroup does not exist, is unknown, or is so distant that few characters are shared, in which case duplicated genes originating before the LCA can be used as proxy outgroups to root diverse phylogenies. Here, we describe a genome-wide expansion of this technique that can be used to solve problems at the other end of the evolutionary scale: where ingroup individuals are all very closely related to each other, but the next closest relative is very distant. We used shared orthologous single nucleotide polymorphisms (SNPs) from 10 whole genome sequences of Coxiella burnetii, the causative agent of Q fever in humans, to create a robust, but unrooted phylogeny. To maximize the number of characters informative about the rooting, we searched entire genomes for polymorphic duplicated regions where orthologs of each paralog could be identified so that the paralogs could be used to root the tree. Recent radiations, such as those of emerging pathogens, often pose rooting challenges due to a lack of ingroup variation and large genomic differences with known outgroups. Using a phylogenomic approach, we created a robust, rooted phylogeny for C. burnetii. [Coxiella burnetii; paralog SNPs; pathogen evolution; phylogeny; recent radiation; root; rooting using duplicated genes.].",2013 Sep
"Human AND ""Pathogen Evolution"" AND Bioinformatics",24681054,"PAPNC, a novel method to calculate nucleotide diversity from large scale next generation sequencing data.",Journal of virological methods,"Estimating viral diversity in infected patients can provide insight into pathogen evolution and emergence of drug resistance. With the widespread adoption of deep sequencing, it is important to develop tools to accurately calculate population diversity from very large datasets. Current methods for estimating diversity that are based on multiple alignments are not practical to apply to such data. In this study, the authors report a novel method (Pairwise Alignment Positional Nucleotide Counting, PAPNC) for estimating population diversity from 454 sequence data. The diversity measurements determined using this method were comparable to those calculated by average pairwise difference (APD) of multiply aligned sequences using MEGA5. Diversities were estimated for 9 patient plasma HIV samples sequenced with Titanium 454 technology and by single-genome sequencing (SGS). Diversities calculated from deep sequencing using PAPNC ranged from 0.002 to 0.021 while APD measurements calculated from SGS data ranged proximately from 0.001 to 0.018, with the difference being attributable to PCR error (contributing background diversity of 0.0016 in a control sample). Comparison of APDs estimated from 100 sets of sequences drawn at random from 454 generated data and from corresponding SGS data showed very close correlation between the two methods with R(2) of 0.96, and differing on average by about 1% (after correction for PCR error). The authors have developed a novel method that is good for calculating genetic diversities for large scale datasets from next generation sequencing. It can be implemented easily as a function in available variation calling programs like SAMtools or haplotype reconstruction software for nucleotide genetic diversity calculation. A Perl script implementing this method is available upon request.",2014 Jul
"Human AND ""Pathogen Evolution"" AND Bioinformatics",24760760,Excessive production and extreme editing of human metapneumovirus defective interfering RNA is associated with type I IFN induction.,The Journal of general virology,"Type I IFN production is one of the hallmarks of host innate immune responses upon virus infection. Whilst most respiratory viruses carry IFN antagonists, reports on human metapneumovirus (HMPV) have been conflicting. Using deep sequencing, we have demonstrated that HMPV particles accumulate excessive amounts of defective interfering RNA (DIs) rapidly upon in vitro passage, and that these are associated with IFN induction. Importantly, the DIs were edited extensively; up to 70% of the original A and T residues had mutated to G or C, respectively. Such high editing rates of viral RNA have not, to our knowledge, been reported before. Bioinformatics and PCR assays indicated that adenosine deaminase acting on RNA (ADAR) was the most likely editing enzyme. HMPV thus has an unusually high propensity to generate DIs, which are edited at an unprecedented high frequency. The conflicting published data on HMPV IFN induction and antagonism are probably explained by DIs in virus stocks. The interaction of HMPV DIs with the RNA-editing machinery and IFN responses warrants further investigation.",2014 Aug
"Human AND ""Pathogen Evolution"" AND Bioinformatics",25227464,Environmental heterogeneity drives within-host diversification and evolution of Pseudomonas aeruginosa.,mBio,"Microbial population polymorphisms are commonly observed in natural environments, including long-term infected hosts. However, the underlying processes promoting and stabilizing diversity are difficult to unravel and are not well understood. Here, we use chronic infection of cystic fibrosis airways by the opportunistic pathogen Pseudomonas aeruginosa as a system for investigating bacterial diversification processes during the course of infection. We analyze clonal bacterial isolates sampled during a 32-year period and map temporal and spatial variations in population diversity to different infection sites within the infected host. We show that the ancestral infecting strain diverged into distinct sublineages, each with their own functional and genomic signatures and rates of adaptation, immediately after initial colonization. The sublineages coexisted in the host for decades, suggesting rapid evolution of stable population polymorphisms. Critically, the observed generation and maintenance of population diversity was the result of partitioning of the sublineages into physically separated niches in the CF airway. The results reveal a complex within-host population structure not previously realized and provide evidence that the heterogeneity of the highly structured and complex host environment promotes the evolution and long-term stability of pathogen population diversity during infection. IMPORTANCE: Within-host pathogen evolution and diversification during the course of chronic infections is of importance in relation to therapeutic intervention strategies, yet our understanding of these processes is limited. Here, we investigate intraclonal population diversity in P. aeruginosa during chronic airway infections in cystic fibrosis patients. We show the evolution of a diverse population structure immediately after initial colonization, with divergence into multiple distinct sublineages that coexisted for decades and occupied distinct niches. Our results suggest that the spatial heterogeneity in CF airways plays a major role in relation to the generation and maintenance of population diversity and emphasize that a single isolate in sputum may not represent the entire pathogen population in the infected individual. A more complete understanding of the evolution of distinct clonal variants and their distribution in different niches could have positive implications for efficient therapy.",2014 Sep 16
"Human AND ""Pathogen Evolution"" AND Bioinformatics",25532802,Ancient pathogen genomics: insights into timing and adaptation.,Journal of human evolution,"Disease is a major cause of natural selection affecting human evolution, whether through a sudden pandemic or persistent morbidity and mortality. Recent contributions in the field of ancient pathogen genomics have advanced our understanding of the antiquity and nature of human-pathogen interactions through time. Technical advancements have facilitated the recovery, enrichment, and high-throughput sequencing of pathogen and parasite DNA from archived and archaeological remains. These time-stamped genomes are crucial for calibrating molecular clocks to infer the timing of evolutionary events, while providing finer-grain resolution to phylogenetic reconstructions and complex biogeographical patterns. Additionally, genome scale data allow better identification of substitutions linked to adaptations of the pathogen to their human hosts. As methodology continues to improve, ancient genomes of humans and their diverse microbiomes from a range of eras and archaeological contexts will enable population-level ancient analyses in the near future and a better understanding of their co-evolutionary history.",2015 Feb
"Human AND ""Pathogen Evolution"" AND Bioinformatics",25573168,Viral diversity and clonal evolution from unphased genomic data.,BMC genomics,"BACKGROUND: Clonal expansion is a process in which a single organism reproduces asexually, giving rise to a diversifying population. It is pervasive in nature, from within-host pathogen evolution to emergent infectious disease outbreaks. Standard phylogenetic tools rely on full-length genomes of individual pathogens or population consensus sequences (phased genotypes). METHODS: We introduce two measures of diversity to study the evolution of clonal populations using unphased genomic data, which eliminate the need to construct full-length genomes. Our method follows a maximum likelihood approach to estimate evolutionary rates and times to the most recent common ancestor, based on a relaxed molecular clock model; independent of a growth model. Deviations from neutral evolution indicate the presence of selection and bottleneck events. RESULTS: We evaluated our methods in silico and then compared it against existing approaches with the well-characterized 2009 H1N1 influenza pandemic. We then applied our method to high-throughput genomic data from marburgvirus-infected non-human primates and inferred the time of infection and the intra-host evolutionary rate, and identified purifying selection in viral populations. CONCLUSIONS: Our method has the power to make use of minor variants present in less than 1% of the population and capture genomic diversification within days of infection, making it an ideal tool for the study of acute RNA viral infection dynamics.",2014
"Human AND ""Pathogen Evolution"" AND Bioinformatics",25964672,The role of pathogen genomics in assessing disease transmission.,BMJ (Clinical research ed.),"Whole genome sequencing (WGS) of pathogens enables the sources and patterns of transmission to be identified during specific disease outbreaks and promises to transform epidemiological research on communicable diseases. This review discusses new insights into disease spread and transmission that have come from the use of WGS, particularly when combined with genomic scale phylogenetic analyses. These include elucidation of the mechanisms of cross species transmission, the potential modes of pathogen transmission, and which people in the population contribute most to transmission. Particular attention is paid to the ability of WGS to resolve individual patient to patient transmission events. Importantly, WGS data seem to be sufficiently discriminatory to target cases linked to community or hospital contacts and hence prevent further spread, and to investigate genetically related cases without a clear epidemiological link. Approaches to combine evidence from epidemiological with genomic sequencing observations are summarised. Ongoing genomic surveillance can identify determinants of transmission, monitor pathogen evolution and adaptation, ensure the accurate and timely diagnosis of infections with epidemic potential, and refine strategies for their control.",2015 May 11
"Human AND ""Pathogen Evolution"" AND Bioinformatics",26017358,MANTIS: an R package that simulates multilocus models of pathogen evolution.,BMC bioinformatics,"BACKGROUND: In host-pathogen systems the development of immunity by the host places pressure on pathogens, by setting up competition between genetic variants due to the establishment of cross-protective responses. These pressures can lead to pathogen-specific, ubiquitous dynamic behaviours. Understanding the evolutionary forces that shape these patterns is one of the key goals of computationally simulated epidemiological models. Despite the contribution of such research methods in recent years to our current understanding of pathogen evolution, the availability of free software tools for the general public remains scarce. RESULTS: We developed the Multilocus ANTIgenic Simulator (MANTIS) software package for the R statistical environment. MANTIS can simulate and analyse epidemiological time-series generated under the biological assumptions of the strain theory of host-pathogen systems by Gupta et al. CONCLUSIONS: MANTIS wraps a C/C++ ordinary-differential equations system and Runge-Kutta solver into a set of user-friendly R functions. These include routines to numerically simulate the system and others to analyse, visualize and export results. For this, the package offers its own set of time-series plotting and exportation functions. MANTIS's main goal is to serve as a free, ready-to-use academic software tool. Its open source nature further provides an opportunity for users with advanced programming skills to expand its capabilities. Here, we describe the background theory, implementation, basic functionality and usage of this package. MANTIS is freely available from http://www.eeid.ox.ac.uk/mantis under the GPL license.",2015 May 28
"Human AND ""Pathogen Evolution"" AND Bioinformatics",26075402,'SEEDY' (Simulation of Evolutionary and Epidemiological Dynamics): An R Package to Follow Accumulation of Within-Host Mutation in Pathogens.,PloS one,"Genome sequencing is an increasingly common component of infectious disease outbreak investigations. However, the relationship between pathogen transmission and observed genetic data is complex, and dependent on several uncertain factors. As such, simulation of pathogen dynamics is an important tool for interpreting observed genomic data in an infectious disease outbreak setting, in order to test hypotheses and to explore the range of outcomes consistent with a given set of parameters. We introduce 'seedy', an R package for the simulation of evolutionary and epidemiological dynamics (http://cran.r-project.org/web/packages/seedy/). Our software implements stochastic models for the accumulation of mutations within hosts, as well as individual-level disease transmission. By allowing variables such as the transmission bottleneck size, within-host effective population size and population mixing rates to be specified by the user, our package offers a flexible framework to investigate evolutionary dynamics during disease outbreaks. Furthermore, our software provides theoretical pairwise genetic distance distributions to provide a likelihood of person-to-person transmission based on genomic observations, and using this framework, implements transmission route assessment for genomic data collected during an outbreak. Our open source software provides an accessible platform for users to explore pathogen evolution and outbreak dynamics via simulation, and offers tools to assess observed genomic data in this context.",2015
"Human AND ""Pathogen Evolution"" AND Bioinformatics",26082117,Genomic and Metagenomic Approaches for Predicting Pathogen Evolution.,Microbiology spectrum,"Global climate change can alter the distribution of microbial pathogens and vectors that transmit infectious diseases, exposing humans to newly emerging or reemerging diseases. Early detection of potential pathogens and vectors in the environment can facilitate upstream interventions that limit the spread of infectious disease. Metagenomics is the analysis of DNA sequences from a population of microorganisms in a particular environment, followed by the computational reconstruction of the data to determine what organisms are present and predict their role in the environment. Defining the microbial populations associated with humans, animals, and their environment provides insight into the structure of microbial communities in any particular niche, including the abundance, diversity, and composition of the microbes and viruses present. It can also reveal the distribution of virulence genes within that niche. These data can be used to identify reservoirs of pathogens in an environment and predict environments with a high probability for evolution of new pathogens or outbreaks caused by known pathogens, thereby facilitating approaches to prevent infections of animals or humans before serious outbreaks of infectious disease.",2014 Feb
"Human AND ""Pathogen Evolution"" AND Bioinformatics",26702033,Virus evolution and transmission in an ever more connected world.,Proceedings. Biological sciences,"The frequency and global impact of infectious disease outbreaks, particularly those caused by emerging viruses, demonstrate the need for a better understanding of how spatial ecology and pathogen evolution jointly shape epidemic dynamics. Advances in computational techniques and the increasing availability of genetic and geospatial data are helping to address this problem, particularly when both information sources are combined. Here, we review research at the intersection of evolutionary biology, human geography and epidemiology that is working towards an integrated view of spatial incidence, host mobility and viral genetic diversity. We first discuss how empirical studies have combined viral spatial and genetic data, focusing particularly on the contribution of evolutionary analyses to epidemiology and disease control. Second, we explore the interplay between virus evolution and global dispersal in more depth for two pathogens: human influenza A virus and chikungunya virus. We discuss the opportunities for future research arising from new analyses of human transportation and trade networks, as well as the associated challenges in accessing and sharing relevant spatial and genetic data.",2015 Dec 22
"Human AND ""Pathogen Evolution"" AND Bioinformatics",27289479,Archaeogenetics in evolutionary medicine.,"Journal of molecular medicine (Berlin, Germany)","Archaeogenetics is the study of exploration of ancient DNA (aDNA) of more than 70 years old. It is an important part of the wider studies of many different areas of our past, including animal, plant and pathogen evolution and domestication events. Hereby, we address specifically the impact of research in archaeogenetics in the broader field of evolutionary medicine. Studies on ancient hominid genomes help to understand even modern health patterns. Human genetic microevolution, e.g. related to abilities of post-weaning milk consumption, and specifically genetic adaptation in disease susceptibility, e.g. towards malaria and other infectious diseases, are of the upmost importance in contributions of archeogenetics on the evolutionary understanding of human health and disease. With the increase in both the understanding of modern medical genetics and the ability to deep sequence ancient genetic information, the field of archaeogenetic evolutionary medicine is blossoming.",2016 Sep
"Human AND ""Pathogen Evolution"" AND Bioinformatics",27618404,Microbial Genomics of Ancient Plagues and Outbreaks.,Trends in microbiology,"The recent use of next-generation sequencing methods to investigate historical disease outbreaks has provided us with an unprecedented ability to address important and long-standing questions in epidemiology, pathogen evolution, and human history. In this review, we present major findings that illustrate how microbial genomics has provided new insights into the nature and etiology of infectious diseases of historical importance, such as plague, tuberculosis, and leprosy. Sequenced isolates collected from archaeological remains also provide evidence for the timing of historical evolutionary events as well as geographic spread of these pathogens. Elucidating the genomic basis of virulence in historical diseases can provide relevant information on how we can effectively understand the emergence and re-emergence of infectious diseases today and in the future.",2016 Dec
"Human AND ""Pathogen Evolution"" AND Bioinformatics",28951202,"Mutation and recombination in pathogen evolution: Relevance, methods and controversies.","Infection, genetics and evolution : journal of molecular epidemiology and evolutionary genetics in infectious diseases","Mutation and recombination drive the evolution of most pathogens by generating the genetic variants upon which selection operates. Those variants can, for example, confer resistance to host immune systems and drug therapies or lead to epidemic outbreaks. Given their importance, diverse evolutionary studies have investigated the abundance and consequences of mutation and recombination in pathogen populations. However, some controversies persist regarding the contribution of each evolutionary force to the development of particular phenotypic observations (e.g., drug resistance). In this study, we revise the importance of mutation and recombination in the evolution of pathogens at both intra-host and inter-host levels. We also describe state-of-the-art analytical methodologies to detect and quantify these two evolutionary forces, including biases that are often ignored in evolutionary studies. Finally, we present some of our former studies involving pathogenic taxa where mutation and recombination played crucial roles in the recovery of pathogenic fitness, the generation of interspecific genetic diversity, or the design of centralized vaccines. This review also illustrates several common controversies and pitfalls in the analysis and in the evaluation and interpretation of mutation and recombination outcomes.",2018 Sep
