Keyword,PMID,Title,Journal,Abstract,Publication Date
"""Bioinformatics Tools"" AND ""Comparative genomics""",18337260,PlasmoGF: an integrated system for comparative genomics and phylogenetic analysis of Plasmodium gene families.,"Bioinformatics (Oxford, England)","Malaria, one of the world's most common diseases, is caused by the intracellular protozoan parasite known as Plasmodium. Recently, with the arrival of several malaria parasite genomes, we established an integrated system named PlasmoGF for comparative genomics and phylogenetic analysis of Plasmodium gene families. Gene families were clustered using the Markov Cluster algorithm implemented in TribeMCL program and could be searched using keywords, gene-family information, domain composition, Gene Ontology and BLAST. Moreover, a number of useful bioinformatics tools were implemented to facilitate the analysis of these putative Plasmodium gene families, including gene retrieval, annotation, sequence alignment, phylogeny construction and visualization. In the current version, PlasmoGF contained 8980 sets of gene families derived from six malaria parasite genomes: Plasmodium. falciparum, P. berghei, P. knowlesi, P. chabaudi, P. vivax and P. yoelii. The availability of such a highly integrated system would be of great interest for the community of researchers working on malaria parasite phylogenomics. AVAILABILITY: PlasmoGF is freely available at http://bioinformatics.zj.cn/pgf/",2008 May 1
"""Bioinformatics Tools"" AND ""Comparative genomics""",18629221,Computational tools for Brassica-Arabidopsis comparative genomics.,Comparative and functional genomics,"Recent advances, such as the availability of extensive genome survey sequence (GSS) data and draft physical maps, are radically transforming the means by which we can dissect Brassica genome structure and systematically relate it to the Arabidopsis model. Hitherto, our view of the co-linearities between these closely related genomes had been largely inferred from comparative RFLP data, necessitating substantial interpolation and expert interpretation. Sequencing of the Brassica rapa genome by the Multinational Brassica Genome Project will, however, enable an entirely computational approach to this problem. Meanwhile we have been developing databases and bioinformatics tools to support our work in Brassica comparative genomics, including a recently completed draft physical map of B. rapa integrated with anchor probes derived from the Arabidopsis genome sequence. We are also exploring new ways to display the emerging Brassica-Arabidopsis sequence homology data. We have mapped all publicly available Brassica sequences in silico to the Arabidopsis TIGR v5 genome sequence and published this in the ATIDB database that uses Generic Genome Browser (GBrowse). This in silico approach potentially identifies all paralogous sequences and so we colour-code the significance of the mappings and offer an integrated, real-time multiple alignment tool to partition them into paralogous groups. The MySQL database driving GBrowse can also be directly interrogated, using the powerful API offered by the Perl BioColon, two colonsDBColon, two colonsGFF methods, facilitating a wide range of data-mining possibilities.",2005
"""Bioinformatics Tools"" AND ""Comparative genomics""",18828907,Rapid identification of PAX2/5/8 direct downstream targets in the otic vesicle by combinatorial use of bioinformatics tools.,Genome biology,"BACKGROUND: The pax2/5/8 genes belonging to the PAX family of transcription factors are key developmental regulators that are involved in the patterning of various embryonic tissues. More particularly, their function in inner ear specification has been widely described. However, little is known about the direct downstream targets and, so far, no global approaches have been performed to identify these target genes in this particular tissue. RESULTS: Here we present an original bioinformatics pipeline composed of comparative genomics, database querying and text mining tools, which is designed to rapidly and specifically discover PAX2/5/8 direct downstream targets involved in inner ear development. We provide evidence supported by experimental validation in medaka fish that brain 2 (POU domain, class 3, transcription factor 2), claudin-7, secretory pathway component sec31-like and meteorin-like precursor are novel direct downstream targets of PAX2/5/8. CONCLUSIONS: This study illustrates the power of extensive mining of public data repositories using bioinformatics methods to provide answers for a specific biological question. It furthermore demonstrates how the usage of such a combinatorial approach is advantageous for the biologist in terms of experimentation time and costs.",2008 Oct 1
"""Bioinformatics Tools"" AND ""Comparative genomics""",18849648,Data pushing: a fly-centric guide to bioinformatics tools.,Fly,"Bioinformatics tools can be invaluable resources to Drosophila researchers; however, the sheer number of applications and databases can be overwhelming. We present a broad overview of common bioinformatics tasks and the resources used to do them, with a specific focus on resources for Drosophila. The topics covered include: Genome Databases, Sequence Analysis, Comparative Genomics, Gene Expression Databases and Analysis Tools, Function-Based Data and Analysis, Pathways, Networks, and Interactions; and finally, tools to stay current with resources and literature. We also present a compilation of URLs and short descriptions that correspond to the topics and resources mentioned in this review.",2008 Jan-Feb
"""Bioinformatics Tools"" AND ""Comparative genomics""",19696491,In silico Reconstruction of the Metabolic and Pathogenic Potential of Bacterial Genomes Using Subsystems.,Genome dynamics,"Whole genome sequencing has revolutionized biological sciences, and is leading to a paradigm shift in microbiology. As more microbial genomes are sequenced, and more bioinformatics tools are developed, it has become possible to predict the metabolism of an organism from genomic data. In contrast, predicting the pathogenic potential of parasitic microbes and their interactions with their hosts is still a challenge, especially as the definition of pathogenesis itself is still evolving. In this review, we introduce the subsystem-based technology for genome annotation and analysis, and we discuss some subsystem-based tools available in the National Microbial Pathogen Data Resource (NMPDR, http://www.nmpdr.org) and their potential application in comparative genomics and pathogenomics.",2009
"""Bioinformatics Tools"" AND ""Comparative genomics""",19720678,Improved criteria and comparative genomics tool provide new insights into grass paleogenomics.,Briefings in bioinformatics,"In the past decade, a number of bioinformatics tools have been developed to perform comparative genomics studies in plants and animals. However, most of the publicly available and user friendly tools lack common standards for the identification of robust orthologous relationships between genomes leading non-specialists to often over interpret the results of large scale comparative sequence analyses. Recently, we have established a number of improved parameters and tools to define significant relationships between genomes as a basis to develop paleogenomics studies in grasses. Here, we describe our approaches and propose the development of community-based standards that can be used in comparative genomic studies to (i) identify robust sets of orthologous gene pairs, (ii) derive complete sets of chromosome to chromosome relationships within and between genomes and (iii) model common paleo-ancestor genome structures. The rice and sorghum genome sequences are used to exemplify step-by-step a methodology that should allow users to perform accurate comparative genome analyses in their favourite species. Finally, we describe two applications for accurate gene annotation and synteny-based cloning of agronomically important traits.",2009 Nov
"""Bioinformatics Tools"" AND ""Comparative genomics""",19788737,"MoccaDB - an integrative database for functional, comparative and diversity studies in the Rubiaceae family.",BMC plant biology,"BACKGROUND: In the past few years, functional genomics information has been rapidly accumulating on Rubiaceae species and especially on those belonging to the Coffea genus (coffee trees). An increasing number of expressed sequence tag (EST) data and EST- or genomic-derived microsatellite markers have been generated, together with Conserved Ortholog Set (COS) markers. This considerably facilitates comparative genomics or map-based genetic studies through the common use of orthologous loci across different species. Similar genomic information is available for e.g. tomato or potato, members of the Solanaceae family. Since both Rubiaceae and Solanaceae belong to the Euasterids I (lamiids) integration of information on genetic markers would be possible and lead to more efficient analyses and discovery of key loci involved in important traits such as fruit development, quality, and maturation, or adaptation. Our goal was to develop a comprehensive web data source for integrated information on validated orthologous markers in Rubiaceae. DESCRIPTION: MoccaDB is an online MySQL-PHP driven relational database that houses annotated and/or mapped microsatellite markers in Rubiaceae. In its current release, the database stores 638 markers that have been defined on 259 ESTs and 379 genomic sequences. Marker information was retrieved from 11 published works, and completed with original data on 132 microsatellite markers validated in our laboratory. DNA sequences were derived from three Coffea species/hybrids. Microsatellite markers were checked for similarity, in vitro tested for cross-amplification and diversity/polymorphism status in up to 38 Rubiaceae species belonging to the Cinchonoideae and Rubioideae subfamilies. Functional annotation was provided and some markers associated with described metabolic pathways were also integrated. Users can search the database for marker, sequence, map or diversity information through multi-option query forms. The retrieved data can be browsed and downloaded, along with protocols used, using a standard web browser. MoccaDB also integrates bioinformatics tools (CMap viewer and local BLAST) and hyperlinks to related external data sources (NCBI GenBank and PubMed, SOL Genomic Network database). CONCLUSION: We believe that MoccaDB will be extremely useful for all researchers working in the areas of comparative and functional genomics and molecular evolution, in general, and population analysis and association mapping of Rubiaceae and Solanaceae species, in particular.",2009 Sep 29
"""Bioinformatics Tools"" AND ""Comparative genomics""",21155017,BiMFG: bioinformatics tools for marine and freshwater species.,Journal of bioinformatics and computational biology,"Biomolecule sequences and structures of land, air and water species are determined rapidly and the data entries are unevenly distributed for different organisms. It frequently leads to the BLAST results of homologous search containing undesirable entries from organisms living in different environments. To reduce irrelevant searching results, a separate database for comparative genomics is urgently required. A comprehensive bioinformatics tool set and an integrated database, named Bioinformatics tools for Marine and Freshwater Genomics (BiMFG), are constructed for comparative analyses among model species and underwater species. Novel matching techniques based on conserved motifs and/or secondary structure elements are designed for efficiently and effectively retrieving and aligning remote sequences through cross-species comparisons. It is especially helpful when sequences under analysis possess low similarities and unresolved structural information. In addition, the system provides core techniques of multiple sequence alignment, multiple second structure profile alignment and iteratively refined multiple structural alignments for biodiversity analysis and verification in marine and freshwater biology. The BiMFG web server is freely available for use at http://bimfg.cs.ntou.edu.tw/.",2010 Dec
"""Bioinformatics Tools"" AND ""Comparative genomics""",21178769,Combining genome-wide data from humans and animal models of dyslipidemia and atherosclerosis.,Current opinion in lipidology,"PURPOSE OF REVIEW: Comparative genomics allows researchers to combine genome-wide association data from humans with studies in animal models in order to assist in the identification of the genes and the genetic variants that modify susceptibility to dyslipidemia and atherosclerosis. RECENT FINDINGS: Association and linkage studies in human and rodent species have been successful in identifying genetic loci associated with complex traits, but have been less robust in identifying and validating the responsible gene and/or genetic variants. Recent technological advancements have assisted in the development of comparative genomic approaches, which rely on the combination of human and rodent datasets and bioinformatics tools, followed by the narrowing of concordant loci and improved identification of candidate genes and genetic variants. Additionally, candidate genes and genetic variants identified by these methods have been further validated and functionally investigated in animal models, a process that is not feasible in humans. SUMMARY: Comparative genomic approaches have led to the identification and validation of several new genes, including a few not previously implicated, as modifiers of plasma lipid levels and atherosclerosis, yielding new insights into the biological mechanisms of these complex traits.",2011 Apr
"""Bioinformatics Tools"" AND ""Comparative genomics""",21572503,In silico identification of common putative drug targets in Leptospira interrogans.,Journal of chemical biology,"Infectious diseases are the leading causes of death worldwide. Hence, there is a need to develop new antimicrobial agents. Traditional method of drug discovery is time consuming and yields a few drug targets with little intracellular information for guiding target selection. Thus, focus in drug development has been shifted to computational comparative genomics for identifying novel drug targets. Leptospirosis is a worldwide zoonosis of global concern caused by Leptospira interrogans. Availability of L. interrogans serovars and human genome sequences facilitated to search for novel drug targets using bioinformatics tools. The genome sequence of L. interrogans serovar Copenhageni has 5,124 genes while that of serovar Lai has 4,727 genes. Through subtractive genomic approach 218 genes in serovar Copenhageni and 158 genes in serovar Lai have been identified as putative drug targets. Comparative genomic approach had revealed that 88 drug targets were common to both the serovars. Pathway analysis using the Kyoto Encyclopaedia of Genes and Genomes revealed that 66 targets are enzymes and 22 are non-enzymes. Sixty two common drug targets were predicted to be localized in cytoplasm and 16 were surface proteins. The identified potential drug targets form a platform for further investigation in discovery of novel therapeutic compounds against Leptospira.",2010 May 14
"""Bioinformatics Tools"" AND ""Comparative genomics""",22086997,Analysis of the Asian seabass transcriptome based on expressed sequence tags.,DNA research : an international journal for rapid publication of reports on genes and genomes,"Analysis of transcriptomes is of great importance in genomic studies. Asian seabass is an important fish species. A number of genomic tools in it were developed, while large expressed sequence tag (EST) data are lacking. We sequenced ESTs from nine normalized cDNA libraries and obtained 11 431 high-quality ESTs. We retrieved 8524 ESTs from dbEST database and analyzed all 19 975 ESTs using bioinformatics tools. After clustering, we obtained 8837 unique sequences (2838 contigs and 5999 singletons). The average contig length was 574 bp. Annotation of these unique sequences revealed that 48.9% of them showed significant homology to RNA sequences in GenBank. Functional classification of the unique ESTs identified a broad range of genes involved in different functions. We identified 6114 putative single-nucleotide polymorphisms and 634 microsatellites in ESTs. We discovered different temporal and spatial expression patterns of some immune-related genes in the Asian seabass after challenging with a pathogen Vibrio harveyi. The unique EST sequences are being used in developing a cDNA microarray to examine global gene expression and will also facilitate future whole-genome sequence assembly and annotation of Asian seabass and comparative genomics.",2011 Dec
"""Bioinformatics Tools"" AND ""Comparative genomics""",22142766,"Use of comparative genomics approaches to characterize interspecies differences in response to environmental chemicals: challenges, opportunities, and research needs.",Toxicology and applied pharmacology,"A critical challenge for environmental chemical risk assessment is the characterization and reduction of uncertainties introduced when extrapolating inferences from one species to another. The purpose of this article is to explore the challenges, opportunities, and research needs surrounding the issue of how genomics data and computational and systems level approaches can be applied to inform differences in response to environmental chemical exposure across species. We propose that the data, tools, and evolutionary framework of comparative genomics be adapted to inform interspecies differences in chemical mechanisms of action. We compare and contrast existing approaches, from disciplines as varied as evolutionary biology, systems biology, mathematics, and computer science, that can be used, modified, and combined in new ways to discover and characterize interspecies differences in chemical mechanism of action which, in turn, can be explored for application to risk assessment. We consider how genetic, protein, pathway, and network information can be interrogated from an evolutionary biology perspective to effectively characterize variations in biological processes of toxicological relevance among organisms. We conclude that comparative genomics approaches show promise for characterizing interspecies differences in mechanisms of action, and further, for improving our understanding of the uncertainties inherent in extrapolating inferences across species in both ecological and human health risk assessment. To achieve long-term relevance and consistent use in environmental chemical risk assessment, improved bioinformatics tools, computational methods robust to data gaps, and quantitative approaches for conducting extrapolations across species are critically needed. Specific areas ripe for research to address these needs are recommended.",2013 Sep 15
"""Bioinformatics Tools"" AND ""Comparative genomics""",22809419,Anvaya: a workflows environment for automated genome analysis.,Journal of bioinformatics and computational biology,"Anvaya is a workflow environment for automated genome analysis that provides an interface for several bioinformatics tools and databases, loosely coupled together in a coordinated system, enabling the execution of a set of analyses tools in series or in parallel. It is a client-server workflow environment that has an advantage over existing software as it enables extensive pre & post processing of biological data in an efficient manner. ""Anvaya"" offers the user, novel functionalities to carry out exhaustive comparative analysis via ""custom tools,"" which are tools with new functionality not available in standard tools, and ""built-in PERL parsers,"" which automate data-flow between tools that hitherto, required manual intervention. It also provides a set of 11 pre-defined workflows for frequently used pipelines in genome annotation and comparative genomics ranging from EST assembly and annotation to phylogenetic reconstruction and microarray analysis. It provides a platform that serves as a single-stop solution for biologists to carry out hassle-free and comprehensive analysis, without being bothered about the nuances involved in tool installation, command line parameters, format conversions required to connect tools and manage/process multiple data sets at a single instance.",2012 Aug
"""Bioinformatics Tools"" AND ""Comparative genomics""",23415847,Clostridium-DT(DB): a comprehensive database for potential drug targets of Clostridium difficile.,Computers in biology and medicine,"Clostridium difficile is considered to be one of the most important causes of health care-associated infections currently. The prevalence and severity of C. difficile infection have increased significantly worldwide in the past decade which has led to the increased research interest. Here, using comparative genomics strategy coupled with bioinformatics tools we have identified potential drug targets in C. difficile and determined their three-dimensional structures in order to develop a database, named Clostridium-DT(DB). Currently, the database comprises the potential drug targets with their structural information from three strains of C. difficile, namely hypervirulent PCR-ribotype 027 strain R20291, PCR-ribotype 012 strain 630, and PCR-ribotype 027 strain CD196.",2013 May
"""Bioinformatics Tools"" AND ""Comparative genomics""",23504016,Genomic reconstruction of the transcriptional regulatory network in Bacillus subtilis.,Journal of bacteriology,"The adaptation of microorganisms to their environment is controlled by complex transcriptional regulatory networks (TRNs), which are still only partially understood even for model species. Genome scale annotation of regulatory features of genes and TRN reconstruction are challenging tasks of microbial genomics. We used the knowledge-driven comparative-genomics approach implemented in the RegPredict Web server to infer TRN in the model Gram-positive bacterium Bacillus subtilis and 10 related Bacillales species. For transcription factor (TF) regulons, we combined the available information from the DBTBS database and the literature with bioinformatics tools, allowing inference of TF binding sites (TFBSs), comparative analysis of the genomic context of predicted TFBSs, functional assignment of target genes, and effector prediction. For RNA regulons, we used known RNA regulatory motifs collected in the Rfam database to scan genomes and analyze the genomic context of new RNA sites. The inferred TRN in B. subtilis comprises regulons for 129 TFs and 24 regulatory RNA families. First, we analyzed 66 TF regulons with previously known TFBSs in B. subtilis and projected them to other Bacillales genomes, resulting in refinement of TFBS motifs and identification of novel regulon members. Second, we inferred motifs and described regulons for 28 experimentally studied TFs with previously unknown TFBSs. Third, we discovered novel motifs and reconstructed regulons for 36 previously uncharacterized TFs. The inferred collection of regulons is available in the RegPrecise database (http://regprecise.lbl.gov/) and can be used in genetic experiments, metabolic modeling, and evolutionary analysis.",2013 Jun
"""Bioinformatics Tools"" AND ""Comparative genomics""",24655715,Comparison of single-molecule sequencing and hybrid approaches for finishing the genome of Clostridium autoethanogenum and analysis of CRISPR systems in industrial relevant Clostridia.,Biotechnology for biofuels,"BACKGROUND: Clostridium autoethanogenum strain JA1-1 (DSM 10061) is an acetogen capable of fermenting CO, CO2 and H2 (e.g. from syngas or waste gases) into biofuel ethanol and commodity chemicals such as 2,3-butanediol. A draft genome sequence consisting of 100 contigs has been published. RESULTS: A closed, high-quality genome sequence for C. autoethanogenum DSM10061 was generated using only the latest single-molecule DNA sequencing technology and without the need for manual finishing. It is assigned to the most complex genome classification based upon genome features such as repeats, prophage, nine copies of the rRNA gene operons. It has a low G + C content of 31.1%. Illumina, 454, Illumina/454 hybrid assemblies were generated and then compared to the draft and PacBio assemblies using summary statistics, CGAL, QUAST and REAPR bioinformatics tools and comparative genomic approaches. Assemblies based upon shorter read DNA technologies were confounded by the large number repeats and their size, which in the case of the rRNA gene operons were ~5 kb. CRISPR (Clustered Regularly Interspaced Short Paloindromic Repeats) systems among biotechnologically relevant Clostridia were classified and related to plasmid content and prophages. Potential associations between plasmid content and CRISPR systems may have implications for historical industrial scale Acetone-Butanol-Ethanol (ABE) fermentation failures and future large scale bacterial fermentations. While C. autoethanogenum contains an active CRISPR system, no such system is present in the closely related Clostridium ljungdahlii DSM 13528. A common prophage inserted into the Arg-tRNA shared between the strains suggests a common ancestor. However, C. ljungdahlii contains several additional putative prophages and it has more than double the amount of prophage DNA compared to C. autoethanogenum. Other differences include important metabolic genes for central metabolism (as an additional hydrogenase and the absence of a phophoenolpyruvate synthase) and substrate utilization pathway (mannose and aromatics utilization) that might explain phenotypic differences between C. autoethanogenum and C. ljungdahlii. CONCLUSIONS: Single molecule sequencing will be increasingly used to produce finished microbial genomes. The complete genome will facilitate comparative genomics and functional genomics and support future comparisons between Clostridia and studies that examine the evolution of plasmids, bacteriophage and CRISPR systems.",2014
"""Bioinformatics Tools"" AND ""Comparative genomics""",26442149,The bacterial pangenome as a new tool for analysing pathogenic bacteria.,New microbes and new infections,"The bacterial pangenome was introduced in 2005 and, in recent years, has been the subject of many studies. Thanks to progress in next-generation sequencing methods, the pangenome can be divided into two parts, the core (common to the studied strains) and the accessory genome, offering a large panel of uses. In this review, we have presented the analysis methods, the pangenome composition and its application as a study of lifestyle. We have also shown that the pangenome may be used as a new tool for redefining the pathogenic species. We applied this to the Escherichia coli and Shigella species, which have been a subject of controversy regarding their taxonomic and pathogenic position.",2015 Sep
